fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
1,HEX0000001,Oceano,Marina,Baja California,4,0.321906141936779,0.0804765354841948,0.0799033939838409,0.081265814602375
2,HEX0000002,Oceano,Marina,Baja California,4,0.316894978284836,0.079223744571209,0.0782236084342003,0.0799123346805573
3,HEX0000003,Oceano,Marina,Baja California,6,0.475202493369579,0.0792004155615966,0.077469177544117,0.0809010565280914
4,HEX0000004,Oceano,Marina,Baja California,4,0.307380750775337,0.0768451876938343,0.0759074613451958,0.0779048874974251
5,HEX0000005,Oceano,Marina,Baja California,3,0.2326325699687,0.0775441899895668,0.0768642202019691,0.0784465447068214
6,HEX0000006,Oceano,Marina,Baja California,6,0.474360913038254,0.0790601521730423,0.0773366168141365,0.0802312046289444
7,HEX0000007,Oceano,Marina,Baja California,4,0.316305704414845,0.0790764261037111,0.0779072642326355,0.0804917216300964
8,HEX0000008,Oceano,Marina,Baja California,4,0.325882710516453,0.0814706776291132,0.0812336504459381,0.0820105224847794
9,HEX0000009,Oceano,Marina,Baja California,4,0.321715168654919,0.0804287921637297,0.0794308558106422,0.081070140004158
10,HEX0000010,Oceano,Marina,Baja California,6,0.470496363937855,0.0784160606563091,0.0768412500619888,0.0797549709677696
11,HEX0000011,Oceano,Marina,Baja California,4,0.318280376493931,0.0795700941234827,0.0789406001567841,0.0803359672427177
12,HEX0000012,Oceano,Marina,Baja California,4,0.323948614299297,0.0809871535748243,0.0806162059307098,0.0814717188477516
13,HEX0000013,Oceano,Marina,Baja California,6,0.471767164766788,0.0786278607944648,0.0775603652000427,0.0798018053174019
14,HEX0000014,Oceano,Marina,Baja California,4,0.312884978950024,0.0782212447375059,0.0776772424578667,0.0785016342997551
15,HEX0000015,Oceano,Marina,Baja California,4,0.312256798148155,0.0780641995370388,0.0773326009511948,0.0788746774196625
16,HEX0000016,Oceano,Marina,Baja California,6,0.470329143106937,0.0783881905178229,0.0771439447999001,0.0792629569768906
17,HEX0000017,Oceano,Marina,Baja California,4,0.314504019916058,0.0786260049790144,0.0782802179455757,0.0794744491577148
18,HEX0000018,Oceano,Marina,Baja California,4,0.318943485617638,0.0797358714044094,0.0787413269281387,0.0802514851093292
19,HEX0000019,Oceano,Marina,Baja California,4,0.318503923714161,0.0796259809285402,0.0792863368988037,0.0801834017038345
20,HEX0000020,Oceano,Marina,Baja California,6,0.478779248893261,0.0797965414822102,0.0790528282523155,0.0801912024617195
21,HEX0000021,Oceano,Marina,Baja California,4,0.324379831552505,0.0810949578881264,0.0804691910743713,0.08204435557127
22,HEX0000022,Oceano,Marina,Baja California,4,0.321222901344299,0.0803057253360748,0.07862788438797,0.0812540873885155
23,HEX0000023,Oceano,Marina,Baja California,6,0.477641701698303,0.0796069502830505,0.0772493705153465,0.0815502032637596
24,HEX0000024,Oceano,Marina,Baja California,4,0.323365643620491,0.0808414109051228,0.0800093784928322,0.081495463848114
25,HEX0000025,Oceano,Marina,Baja California,4,0.322745934128761,0.0806864835321903,0.0797601193189621,0.0816372781991959
26,HEX0000026,Oceano,Marina,Baja California,6,0.471007652580738,0.078501275430123,0.0778468698263168,0.0791320353746414
27,HEX0000027,Oceano,Marina,Baja California,5,0.392000317573547,0.0784000635147095,0.0773138403892517,0.079650454223156
28,HEX0000028,Oceano,Marina,Baja California,4,0.314672484993935,0.0786681212484837,0.0778716281056404,0.0790331363677979
29,HEX0000029,Oceano,Marina,Baja California,6,0.474906913936138,0.0791511523226897,0.077787384390831,0.0805884301662445
30,HEX0000030,Oceano,Marina,Baja California,5,0.403239525854588,0.0806479051709175,0.0799102559685707,0.0814841166138649
31,HEX0000031,Oceano,Marina,Baja California,4,0.324044473469257,0.0810111183673143,0.079952247440815,0.0820091441273689
32,HEX0000032,Oceano,Marina,Baja California,4,0.33545496314764,0.0838637407869101,0.0831377506256104,0.0849201008677483
33,HEX0000033,Oceano,Marina,Baja California,5,0.398331694304943,0.0796663388609886,0.0784185826778412,0.0805644020438194
34,HEX0000034,Oceano,Marina,Baja California,4,0.322720095515251,0.0806800238788128,0.079996183514595,0.0813085436820984
35,HEX0000035,Oceano,Marina,Baja California,5,0.405362643301487,0.0810725286602974,0.0800802707672119,0.081488624215126
36,HEX0000036,Oceano,Marina,Baja California,5,0.403538033366203,0.0807076066732407,0.079686664044857,0.0826470330357552
37,HEX0000037,Oceano,Marina,Baja California,4,0.318410344421864,0.0796025861054659,0.0788280665874481,0.0807328969240189
38,HEX0000038,Oceano,Marina,Baja California,5,0.39956445991993,0.0799128919839859,0.0789593085646629,0.0803380981087685
39,HEX0000039,Oceano,Marina,Baja California,5,0.405436880886555,0.0810873761773109,0.0804011300206184,0.0818043127655983
40,HEX0000040,Oceano,Marina,Baja California,4,0.31703395396471,0.0792584884911776,0.07852803170681,0.080266110599041
41,HEX0000041,Oceano,Marina,Baja California,4,0.315685965120792,0.0789214912801981,0.0782080292701721,0.0793007090687752
42,HEX0000042,Oceano,Marina,Baja California,5,0.399713084101677,0.0799426168203354,0.0789050981402397,0.0802890211343765
43,HEX0000043,Oceano,Marina,Baja California,4,0.320894479751587,0.0802236199378967,0.0798596143722534,0.0807227343320847
44,HEX0000044,Oceano,Marina,Baja California,4,0.318302124738693,0.0795755311846733,0.0785975307226181,0.0804594531655312
45,HEX0000045,Oceano,Marina,Baja California,5,0.399509154260159,0.0799018308520317,0.078862264752388,0.0806087106466293
46,HEX0000046,Oceano,Marina,Baja California,5,0.416494019329548,0.0832988038659096,0.0812314376235008,0.0848702192306519
47,HEX0000047,Oceano,Marina,Baja California,4,0.334396667778492,0.083599166944623,0.0826993733644485,0.0840773209929466
48,HEX0000048,Oceano,Marina,Baja California,4,0.323351740837097,0.0808379352092743,0.0799000859260559,0.081733725965023
49,HEX0000049,Oceano,Marina,Baja California,4,0.321483083069324,0.0803707707673311,0.0796608552336693,0.0817855596542358
50,HEX0000050,Oceano,Marina,Baja California,4,0.318214163184166,0.0795535407960415,0.0785198733210564,0.0805913284420967
51,HEX0000051,Oceano,Marina,Baja California,4,0.322799138724804,0.080699784681201,0.0800928920507431,0.0812656655907631
52,HEX0000052,Oceano,Marina,Baja California,5,0.404625907540321,0.0809251815080643,0.0800128281116486,0.0821748599410057
53,HEX0000053,Oceano,Marina,Baja California,4,0.316197663545609,0.0790494158864021,0.0782701522111893,0.0797375738620758
