fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
23,HEX0000023,Oceano,Marina,Baja California,6,0.530518546700478,0.0884197577834129,0.0877904072403908,0.0895226299762726
24,HEX0000024,Oceano,Marina,Baja California,4,0.353032112121582,0.0882580280303955,0.0878681987524033,0.0887940675020218
25,HEX0000025,Oceano,Marina,Baja California,4,0.358771622180939,0.0896929055452347,0.0887557491660118,0.0906149595975876
26,HEX0000026,Oceano,Marina,Baja California,6,0.536471866071224,0.0894119776785374,0.0876438841223717,0.0905323401093483
27,HEX0000027,Oceano,Marina,Baja California,5,0.441992819309235,0.0883985638618469,0.0874439403414726,0.0903980955481529
28,HEX0000028,Oceano,Marina,Baja California,4,0.35600309073925,0.0890007726848125,0.0880235731601715,0.0897248461842537
29,HEX0000029,Oceano,Marina,Baja California,6,0.539950974285603,0.0899918290476004,0.0893826335668564,0.0913267731666565
30,HEX0000030,Oceano,Marina,Baja California,5,0.429830446839333,0.0859660893678665,0.0842722058296204,0.0884665846824646
31,HEX0000031,Oceano,Marina,Baja California,4,0.328347615897655,0.0820869039744139,0.0816935822367668,0.0824722722172737
32,HEX0000032,Oceano,Marina,Baja California,4,0.334424994885921,0.0836062487214804,0.0829616636037827,0.0842710882425308
33,HEX0000033,Oceano,Marina,Baja California,5,0.433603152632713,0.0867206305265427,0.0847804769873619,0.0882814824581146
34,HEX0000034,Oceano,Marina,Baja California,4,0.34314426779747,0.0857860669493675,0.0849355980753899,0.0868620201945305
35,HEX0000035,Oceano,Marina,Baja California,5,0.416815534234047,0.0833631068468094,0.0818018168210983,0.0856998786330223
36,HEX0000036,Oceano,Marina,Baja California,5,0.439590357244015,0.087918071448803,0.0865449383854866,0.0890654996037483
37,HEX0000037,Oceano,Marina,Baja California,4,0.349894464015961,0.0874736160039902,0.0873287245631218,0.087704136967659
38,HEX0000038,Oceano,Marina,Baja California,5,0.435773678123951,0.0871547356247902,0.0861700847744942,0.0885219350457191
39,HEX0000039,Oceano,Marina,Baja California,5,0.444064244627953,0.0888128489255905,0.0882763490080833,0.0893895328044891
40,HEX0000040,Oceano,Marina,Baja California,4,0.35830957442522,0.0895773936063051,0.0878690630197525,0.0908429473638535
