fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
1,HEX0000001,Oceano,Marina,Baja California,4,0.314721867442131,0.0786804668605328,0.0781317129731178,0.0792644470930099
2,HEX0000002,Oceano,Marina,Baja California,4,0.315050609409809,0.0787626523524523,0.0780696421861649,0.0794043689966202
3,HEX0000003,Oceano,Marina,Baja California,6,0.481440879404545,0.0802401465674241,0.0799777507781982,0.0806284546852112
4,HEX0000004,Oceano,Marina,Baja California,4,0.309972859919071,0.0774932149797678,0.0765162259340286,0.0782080143690109
5,HEX0000005,Oceano,Marina,Baja California,3,0.233660995960236,0.0778869986534119,0.0759685561060905,0.0795233026146889
6,HEX0000006,Oceano,Marina,Baja California,6,0.491009719669819,0.0818349532783031,0.0800401866436005,0.0830101370811462
7,HEX0000007,Oceano,Marina,Baja California,4,0.331774331629276,0.0829435829073191,0.0826796516776085,0.0833898112177849
8,HEX0000008,Oceano,Marina,Baja California,4,0.343804217875004,0.085951054468751,0.08562221378088,0.0864974707365036
9,HEX0000009,Oceano,Marina,Baja California,4,0.326536118984222,0.0816340297460556,0.0799614638090134,0.0833678022027016
10,HEX0000010,Oceano,Marina,Baja California,6,0.471742577850819,0.0786237629751364,0.0770650282502174,0.0801787376403809
11,HEX0000011,Oceano,Marina,Baja California,4,0.315939180552959,0.0789847951382399,0.0783766582608223,0.0797513276338577
12,HEX0000012,Oceano,Marina,Baja California,4,0.311343111097813,0.0778357777744532,0.0765578672289848,0.0784694775938988
13,HEX0000013,Oceano,Marina,Baja California,6,0.479450173676014,0.0799083622793357,0.0786112174391747,0.0816175490617752
14,HEX0000014,Oceano,Marina,Baja California,4,0.319758675992489,0.0799396689981222,0.078956238925457,0.0806858837604523
15,HEX0000015,Oceano,Marina,Baja California,4,0.32394864410162,0.0809871610254049,0.0793692320585251,0.082390271127224
16,HEX0000016,Oceano,Marina,Baja California,6,0.500408232212067,0.0834013720353444,0.081520177423954,0.0854738503694534
17,HEX0000017,Oceano,Marina,Baja California,4,0.334626913070679,0.0836567282676697,0.0822572559118271,0.0849804431200027
18,HEX0000018,Oceano,Marina,Baja California,4,0.342345722019672,0.0855864305049181,0.0844513550400734,0.0866267681121826
19,HEX0000019,Oceano,Marina,Baja California,4,0.348435439169407,0.0871088597923517,0.0858778059482574,0.0886649787425995
20,HEX0000020,Oceano,Marina,Baja California,6,0.514150328934193,0.0856917214890321,0.084433376789093,0.0871441662311554
21,HEX0000021,Oceano,Marina,Baja California,4,0.330379709601402,0.0825949274003506,0.08133365213871,0.0834837779402733
22,HEX0000022,Oceano,Marina,Baja California,4,0.331776715815067,0.0829441789537668,0.0813312083482742,0.0840309038758278
23,HEX0000023,Oceano,Marina,Baja California,6,0.477888382971287,0.0796480638285478,0.0789273828268051,0.0805650800466537
24,HEX0000024,Oceano,Marina,Baja California,4,0.315076246857643,0.0787690617144108,0.077628567814827,0.0795828029513359
25,HEX0000025,Oceano,Marina,Baja California,4,0.317856676876545,0.0794641692191362,0.0789516940712929,0.0799048468470573
26,HEX0000026,Oceano,Marina,Baja California,6,0.487510360777378,0.0812517267962297,0.0789379253983498,0.0831530541181564
27,HEX0000027,Oceano,Marina,Baja California,5,0.409090280532837,0.0818180561065674,0.0799707025289536,0.0831416472792625
28,HEX0000028,Oceano,Marina,Baja California,4,0.332352370023727,0.0830880925059319,0.0827324762940407,0.0837128609418869
29,HEX0000029,Oceano,Marina,Baja California,6,0.508322365581989,0.0847203942636649,0.0827407911419868,0.0876136496663094
30,HEX0000030,Oceano,Marina,Baja California,5,0.428867258131504,0.0857734516263008,0.0842231214046478,0.0875646248459816
31,HEX0000031,Oceano,Marina,Baja California,4,0.354147598147392,0.0885368995368481,0.0877796038985252,0.0897857248783112
32,HEX0000032,Oceano,Marina,Baja California,4,0.372617729008198,0.0931544322520494,0.0910384804010391,0.0949145406484604
33,HEX0000033,Oceano,Marina,Baja California,5,0.442434825003147,0.0884869650006294,0.0876207202672958,0.0892747119069099
